PostalCode,Baseline,HighRisk_Materials,Age_Targeted,Node_Fix,Material_Weighted,Improvement_HighRisk_Materials_%,Improvement_Age_Targeted_%,Improvement_Node_Fix_%,Improvement_Material_Weighted_%
M1N,2.926766014099121e-05,3.128223967552185e-05,3.129235851764679e-05,1.5945661723613742e-06,3.0253284454345705e-05,-6.8832955037259484,-6.917868961515852,94.55178116501331,-3.3676225178454393
M6L,2.5617041528224946e-05,2.7088377177715302e-05,2.7593014240264893e-05,2.578092908859253e-05,2.6287944614887237e-05,-5.743581466537551,-7.713508641748555,-0.639759904308277,-2.618971772845384
M6G,2.4914022266864777e-05,2.613910394906998e-05,2.702729767560959e-05,2.5588678002357483e-05,2.560272753238678e-05,-4.917237646666711,-8.482273099496393,-2.7079358293340996,-2.764327887905795
M5P,2.564750522375107e-05,2.6926150739192964e-05,2.7805560052394867e-05,2.6200209379196167e-05,2.6409716427326204e-05,-4.9854576664937955,-8.414287509902966,-2.155001629293994,-2.9718726906400326
M9L,1.815150362253189e-05,1.9252568125724794e-05,1.976859450340271e-05,1.9108162879943847e-05,1.8336423993110656e-05,-6.065968561558311,-8.908853583146065,-5.270413279836674,-1.0187606185375109
M5H,1.688558530807495e-05,1.7747645318508148e-05,1.8672271370887757e-05,1.8263191163539887e-05,1.6822317481040954e-05,-5.105301324798886,-10.581131954948484,-8.158472628166125,0.3746854247554088
M1P,2.197442948818207e-05,2.3109845161437988e-05,2.392703586816788e-05,2.1660496473312378e-05,2.2414277613162994e-05,-5.1669858999822935,-8.885811488466302,1.4286287388645318,-2.0016361526813533
M2J,2.1496543228626252e-05,2.260208982229233e-05,2.3433501183986664e-05,2.1914696514606476e-05,2.1995446741580963e-05,-5.142904056284999,-9.010555486805096,-1.945211755829574,-2.3208546027546286
M4X,2.171903157234192e-05,2.294846397638321e-05,2.347724002599716e-05,2.2209216356277465e-05,2.194404011964798e-05,-5.660622574014356,-8.095243325186889,-2.2569366516312406,-1.0359971463580226
M5E,1.552977454662323e-05,1.642405962944031e-05,1.704010421037674e-05,1.6154197335243227e-05,1.5430290460586548e-05,-5.758519417859361,-9.725380489067785,-4.020810390681239,0.6406022556091325
M6N,2.6300224125385286e-05,2.7747182250022888e-05,2.8444699585437775e-05,2.555582720041275e-05,2.7106595933437347e-05,-5.501695034001556,-8.153829601712847,2.8303824386577596,-3.0660263737971016
M1B,2.367002695798874e-05,2.520420002937317e-05,2.5204692661762238e-05,2.309043025970459e-05,2.402101457118988e-05,-6.481501158014688,-6.483582407816146,2.4486524637798635,-1.4828357138084232
M4L,2.8315109610557558e-05,3.027618408203125e-05,3.0271039962768556e-05,1.5945661723613742e-06,2.925458550453186e-05,-6.925893978324872,-6.907726578186056,94.36849726420688,-3.317931333820475
M5V,2.4741384863853456e-05,2.638702595233917e-05,2.621072232723236e-05,2.4021194338798522e-05,2.4946784913539886e-05,-6.651370153858914,-5.938784233236559,2.9108739426591854,-0.8301881677873053
M3B,2.490161484479904e-05,2.6201037347316742e-05,2.6977830469608307e-05,2.548772293329239e-05,2.5603671312332155e-05,-5.218225848469822,-8.337674635759235,-2.353695100282883,-2.81932104367017
M9W,2.5439719796180726e-05,2.7158318877220154e-05,2.708417683839798e-05,2.4318989753723146e-05,2.5832071244716645e-05,-6.755573940312982,-6.464131898434418,4.405433909794226,-1.54227897036359
M2P,2.7791344583034516e-05,2.9560636401176452e-05,2.9836099147796632e-05,2.6626398622989654e-05,2.8710152387619018e-05,-6.366341192509328,-7.35752298221064,4.191758180552422,-3.30609338400056
M1G,2.4982278645038604e-05,2.667746990919113e-05,2.650215846300125e-05,2.3989864647388458e-05,2.5308805763721468e-05,-6.785575039966122,-6.0838318215800085,3.9724718939808836,-1.3070349719588545
M4J,2.699507087469101e-05,2.8677358627319336e-05,2.9039801239967346e-05,2.127588713169098e-05,2.782138651609421e-05,-6.23183306477458,-7.574458221531683,21.186029736865777,-3.060987115903095
M4Y,2.1709559202194212e-05,2.2864225566387176e-05,2.3564937233924865e-05,2.2475199818611145e-05,2.194910126924515e-05,-5.318700179210733,-8.54636436627017,-3.526744183454209,-1.1033944301675445
M4T,2.7706496000289918e-05,2.9441198110580446e-05,2.979143035411835e-05,2.741827839612961e-05,2.84284565448761e-05,-6.260994209705825,-7.525074097448535,1.040252813482054,-2.605744676550316
M5N,2.5908024787902833e-05,2.7230193078517914e-05,2.8059051394462586e-05,2.6328292071819305e-05,2.6750064909458162e-05,-5.103315677050139,-8.302549592912719,-1.6221510028533948,-3.2501131539309807
M3L,1.8119185209274292e-05,1.9169510304927826e-05,1.9803168654441832e-05,1.9422026753425597e-05,1.814741390943527e-05,-5.796756772020444,-9.293924785898177,-7.190398073112286,-0.1557945339977546
